ProjectNumber,SampleNumber,ContinentalRiverBasinCode,RiverBasinCode,RiverSubBasinCode,StationTypeCode,StationNumber,Station,LatitudeDecimalDegrees,LongitudeDecimalDegrees,SampleMatrixCode,SampleTypeCode,CollectionCode,QCSampleFlag,SampleComment,SampleDateTime,VmvCode,VariableCode,VariableName,MeasurementFlag,MeasurementValue,UnitCode,SampleDetectLimit,MeasurementComment,MeasurementQualifier,MeasurementQualifierDescription,MeasurementQualifierComment,MethodCode,MethodDetectionLimit,LabCode
ABS001,85AB000882,SAS,BOW,05BM,0,AB05BM0590,"BOW RIVER, AT CLUNY",50.77313,-112.84547,0,1,,N,,08/07/1985 10:50:00,10401,749,RESIDUE NONFILTERABLE,,6.8,mg/L,,,,,,396,10,0
ABS001,85AB000882,SAS,BOW,05BM,0,AB05BM0590,"BOW RIVER, AT CLUNY",50.77313,-112.84547,0,1,,N,,08/07/1985 10:50:00,10451,745,RESIDUE FILTERABLE,,145,mg/L,,,,,,404,10,0
ABS001,85AB000883,SAS,BOW,05BM,0,AB05BM0590,"BOW RIVER, AT CLUNY",50.77313,-112.84547,0,1,,N,,08/27/1985 11:45:00,10401,749,RESIDUE NONFILTERABLE,,1.6,mg/L,,,,,,396,10,0
ABS001,85AB000883,SAS,BOW,05BM,0,AB05BM0590,"BOW RIVER, AT CLUNY",50.77313,-112.84547,0,1,,N,,08/27/1985 11:45:00,10451,745,RESIDUE FILTERABLE,,165,mg/L,,,,,,404,10,0
ABS001,85AB000884,SAS,BOW,05BM,0,AB05BM0590,"BOW RIVER, AT CLUNY",50.77313,-112.84547,0,1,,N,,09/17/1985 11:50:00,10401,749,RESIDUE NONFILTERABLE,,67,mg/L,,,,,,396,10,0
ABS001,85AB000884,SAS,BOW,05BM,0,AB05BM0590,"BOW RIVER, AT CLUNY",50.77313,-112.84547,0,1,,N,,09/17/1985 11:50:00,10451,745,RESIDUE FILTERABLE,,190,mg/L,,,,,,404,10,0
ABS001,85AB000885,SAS,BOW,05BM,0,AB05BM0590,"BOW RIVER, AT CLUNY",50.77313,-112.84547,0,1,,N,,10/09/1985 12:30:00,10401,749,RESIDUE NONFILTERABLE,,2,mg/L,,,,,,396,10,0
ABS001,85AB000885,SAS,BOW,05BM,0,AB05BM0590,"BOW RIVER, AT CLUNY",50.77313,-112.84547,0,1,,N,,10/09/1985 12:30:00,10451,745,RESIDUE FILTERABLE,,210,mg/L,,,,,,404,10,0
ABS001,85AB000886,SAS,BOW,05BM,0,AB05BM0590,"BOW RIVER, AT CLUNY",50.77313,-112.84547,0,1,,N,,10/30/1985 09:35:00,10401,749,RESIDUE NONFILTERABLE,,5,mg/L,,,,,,396,10,0
ABS001,85AB000886,SAS,BOW,05BM,0,AB05BM0590,"BOW RIVER, AT CLUNY",50.77313,-112.84547,0,1,,N,,10/30/1985 09:35:00,10451,745,RESIDUE FILTERABLE,,220,mg/L,,,,,,404,10,0
