FEATURE_CO,FEATURE_TY,NAME,SOURCE,CAPTURE_DA,PS_FLOW,From,To,NOTES,length.m
GA61900000,STR-PER,Muskeg River,20KADD,1980/05/09,P,RAMP MU7,AB07DA1125,,3655.812
GA61700000,STR-INDEF,McClelland Creek,20KADD,1980/05/09,P,SETTLING POND 5B / 10,SETTLING POND 5B/10 / 16,,3242.120
,,AB07DA2210 TO KEARL LAKE OUFLOW,,,,AB07DA2210,KEARL LAKE OUTFLOW,,3115.864
,STR-PER,Firebag River,20KADD,1980/05/09,P,FIR TRIB 2,FIREBAG RIVER / FIREBAG TRIB,,3090.859
GA61900000,STR-PER,Muskeg River,20KADD,1980/05/09,P,MUSKEG RIVER / JACKPINE CREEK,MUSKEG RIVER / AB07DA0606,,2853.466
GA61900000,STR-PER,Muskeg River,20KADD,1980/05/09,P,MUSKEG RIVER / STANLEY CREEK,AB07DA2750,,2822.142
GA61900000,STR-PER,Waterbody 3 Outflow,20KADD,1980/05/09,P,CP-FT-A-2,FIREBAG RIVER / WATERBODY 3,,2791.808
GA61900000,STR-PER,Muskeg River,20KADD,1980/05/09,P,J6N,MUSKEG RIVER / SHELLEY CREEK,,2762.471
,,SETTLING POND 4,,,,SETTLING POND 10,SETTLING POND 5B / 10,,2576.740
,,PP4 Outflow,,,,A-N-1,MOOSE CREEK / MCCLELLAND CREEK,,2512.272
,STR-INDEF,OUTFLOW FROM POND 5B,20KADD,1980/05/20,P,SETTLING POND 5B,SETTLING POND 5B / 10,,2499.262
GA28362530,RIV-MAJ-REP-PRI,Firebag River,,,P,FIR MID 8,FR-1,,2468.482
,,OLD PP1 Outflow,,,,A-A-1,MUSKEG RIVER / A-A-1,Ceased to Release June 2018,2432.171
,,POND 1-32 OUTFALL,,,,POND 1-32,STANLEY CREEK WETLAND,ESTIMATED LOCATION OF WETLAND,2254.065
GA61900000,STR-PER,Waterbody 3 Outflow,20KADD,1980/05/09,P,CP-FT-A,CP-FT-A-2,,2201.957
GA61700000,STR-INDEF,Shelley Creek,20KADD,1980/05/09,P,JACKPINE POND 2,AB07DA2756,,2200.872
GA61900000,STR-PER,Jackpine Creek,20KADD,1980/05/09,P,JACKPINE POND 3 CONFLUENCE,JACKPINE POND 6 CONFLUENCE,,2159.515
GA61900000,STR-PER,Muskeg River,20KADD,1980/05/09,P,AB07DA0475,MUSKEG RIVER / STANLEY CREEK,,2133.878
,,SETTLING POND 16 OUTFLOW,,,,SETTLING POND 16,SETTLING POND 5B/10 / 16,Estimated Flow Path,2109.981
